BGM          Sample ##      Library                                                  Sample
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sh3_bgm_01   00             XX-Large PADS 2                                          AMB-PD 03
sh3_bgm_01   01             Alien Artifakts                                          Track 06, sample 1
sh3_bgm_01   02             SoundScan Vol. 14: Twisted Special FX                    AMBIENT 04
sh3_bgm_01   03             Dub Tactic Manual                                        090ElecOcean_Em_guitar_0
sh3_bgm_01   04             Bizarre Guitar                                           VERBONICS
sh3_bgm_01   05             On the Jazz Tip                                          Track 05, sample 1
sh3_bgm_01   06             Too Phat 2                                               Track 50, sample 7

sh3_bgm_02   00             Cuckooland vol.1 'unhinged'                              PULSAR 3
sh3_bgm_02   01             bt Twisted Textures                                      Liquids

sh3_bgm_03   00             Distorted Reality 2                                      VELVET ENO
sh3_bgm_03   01             Series 8000 - Sci-Fi                                     CD1, Track 14
sh3_bgm_03   02             PowerSurge                                               CD1, Track 09

sh3_bgm_100  00             Things That Go Bump In The Night                         110-15
sh3_bgm_100  01             Things That Go Bump In The Night                         120-10
sh3_bgm_100  02             Ambient Volume 2                                         VERYLOW 3
sh3_bgm_100  03             Sample Material                                          Track 04, sample 3
sh3_bgm_100  04             Titanium Rhythms                                         Track 44, sample 5
sh3_bgm_100  05             Titanium Rhythms                                         Track 36, sample 7

sh3_bgm_101  00             A Poke in the Ear with a Sharp Stick Volume III          3 valve roll 118bpm
sh3_bgm_101  01             Things That Go Bump In The Night                         CD1, Track 37, sample 1
sh3_bgm_101  02             A Poke in the Ear with a Sharp Stick Volume III          Tin Whale - 01
sh3_bgm_101  03             Twisted City                                             Track 37, sample 3

sh3_bgm_102  00             A Poke in the Ear with a Sharp Stick Volume III          3 valve roll 118bpm
sh3_bgm_102  01             A Poke in the Ear with a Sharp Stick Volume III          3 valve roll 118bpm
sh3_bgm_102  02             Things That Go Bump In The Night                         110-15
sh3_bgm_102  03             Things That Go Bump In The Night                         120-7
sh3_bgm_102  04
sh3_bgm_102  05
sh3_bgm_102  06             A Poke in the Ear with a Sharp Stick Volume II           GEARHEAD 130bpm
sh3_bgm_102  07             Cuckooland vol.2 'ghost in the machine'                  078 Nasal Voices-C

sh3_bgm_103  00             Things That Go Bump In The Night                         160-12
sh3_bgm_103  01             Things That Go Bump In The Night                         120-10
